uniref90,taxa,RPK
UniRef90_W4SH06,unclassified,84.0727527019
UniRef90_K5Y7V3,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_K5YYL3,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_K5Z066,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_K5Z5Q7,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_K6A9D2,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_N2AIP5,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_N2B1G0,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_N2B6J6,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_D4PZQ0,unclassified,83.10905777939999
UniRef90_K5YUH1,g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0
UniRef90_K6AWF3,g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0
UniRef90_N1Z2P9,g__Clostridium.s__Clostridium_sp_ASF356,83.0
UniRef90_N1Z9W7,g__Clostridium.s__Clostridium_sp_ASF356,83.0
UniRef90_N1ZJK3,g__Clostridium.s__Clostridium_sp_ASF356,83.0
UniRef90_N2BCA3,g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0
UniRef90_Q7R6U0,unclassified,82.2797922411
UniRef90_K5Y6T0,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K5ZZ20,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K6A6X2,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K6A739,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K6AHS8,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_N2AZ86,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K5Y8H5,g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
