uniref90,taxa,RPK
UniRef90_K5Z729,g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0
UniRef90_K6AX53,g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0
UniRef90_N1ZDU6,g__Clostridium.s__Clostridium_sp_ASF356,78.0
UniRef90_N1ZGL3,g__Clostridium.s__Clostridium_sp_ASF356,78.0
UniRef90_N2B168,g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0
UniRef90_K5ZHV6,g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0
UniRef90_K6AHT5,g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0
UniRef90_N2AGZ2,g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0
UniRef90_R6IAK7,g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0
UniRef90_C6JSD0,unclassified,76.1943868411
