GeneID,RPK
UniRef90_N2B053|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_N2B988|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_P03356|g__Gammaretrovirus.s__Spleen_focus_forming_virus,12.0
UniRef90_A6LBU6|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_A6LE69|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_A6LEH9|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_K5Y097|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_K5YBW5|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_K5YS60|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_K5YU26|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_K5YVM4|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
UniRef90_K5YVS1|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
