taxa,reads
g__Methylobacterium.s__Methylobacterium_mesophilicum,3.0
g__Methylobacterium.s__Methylobacterium_populi,3.0
g__Methylobacterium.s__Methylobacterium_radiotolerans,1.0
g__Methylobacterium.s__Methylobacterium_sp_4_46,1.0
g__Methylobacterium.s__Methylobacterium_sp_77,1.0
g__Methylobacterium.s__Methylobacterium_sp_WSM2598,1.0
g__Methylocella.s__Methylocella_silvestris,4.0
g__Methylophilus.s__Methylophilus_methylotrophus,2.0
g__Methylosinus.s__Methylosinus_sp_LW4,1.0
g__Methylotenera.s__Methylotenera_sp_1P_1,3.0
g__Methylotenera.s__Methylotenera_versatilis,1.0
g__Methyloversatilis.s__Methyloversatilis_universalis,1.0
g__Microbacterium.s__Microbacterium_laevaniformans,2.0
g__Microbacterium.s__Microbacterium_sp_11MF,1.0
g__Microbacterium.s__Microbacterium_sp_B19,1.0
g__Micrococcus.s__Micrococcus_luteus,16.0
g__Mucispirillum.s__Mucispirillum_schaedleri,8436.0
g__Myceliophthora.s__Myceliophthora_thermophila,74.0
g__Mycobacterium.s__Mycobacterium_fortuitum,1.0
g__Mycobacterium.s__Mycobacterium_sp_141,3.0
g__Mycoplasma.s__Mycoplasma_leachii,10.0
g__Myroides.s__Myroides_odoratimimus,1.0
g__Natrialba.s__Natrialba_hulunbeirensis,1.0
g__Naumovozyma.s__Naumovozyma_dairenensis,14.0
g__Nautilia.s__Nautilia_profundicola,1.0
g__Neisseria.s__Neisseria_flavescens,7.0
g__Neisseria.s__Neisseria_meningitidis,4.0
g__Neisseria.s__Neisseria_shayeganii,1.0
g__Neisseria.s__Neisseria_sp_oral_taxon_020,1.0
g__Neosartorya.s__Neosartorya_fischeri,3.0
g__Neospora.s__Neospora_caninum,6.0
g__Neurospora.s__Neurospora_crassa,5.0
